Date,Price,Open,High,Low,Vol.,Change %,Content,Sentiment,Confidence_score_Positive,Confidence_score_Negative,Confidence_score_Neutral
2023-12-24,7.8,7.8,7.9,7.8,71.96K,0.00%,"On the close of operation on December 19, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.11 per unit on the basis of current market price and Tk. 11.94 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,010,963,375.14 on the basis of current market price and Tk. 1,193,727,413.02 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.02126326,0.039929364,0.93880737
2023-12-03,7.8,7.8,7.8,7.8,0.21K,0.00%,"On the close of operation on November 28, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.05 per unit on the basis of current market price and Tk. 11.89 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,004,838,204.51 on the basis of current market price and Tk. 1,189,340,397.69 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.02171197,0.03761299,0.940675
2023-11-26,7.8,7.8,7.8,7.8,0.10K,0.00%,"On the close of operation on November 21, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.07 per unit on the basis of current market price and Tk. 11.89 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,006,917,850.74 on the basis of current market price and Tk. 1,189,461,879.42 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021819683,0.038084127,0.9400962
2023-09-03,7.8,7.8,7.8,7.8,0.02K,0.00%,"On the close of operation on August 29, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.26 per unit on the basis of current market price and Tk. 12.02 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,026,256,369.67 on the basis of current market price and Tk. 1,201,932,904.01 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022176001,0.03778171,0.94004226
2023-08-06,7.8,7.8,7.8,7.8,0.11K,0.00%,"On the close of operation on August 01, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.32 per unit on the basis of current market price and Tk. 12.02 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,031,807,445.07 on the basis of current market price and Tk. 1,201,584,153.51 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.02173332,0.037187237,0.94107944
2023-08-06,7.8,7.8,7.8,7.8,0.11K,0.00%,"There will be no price limit on the trading of the units of the Fund today (06.08.2023) following its corporate declaration. However, the floor price shall be applicable accordingly.",Neutral,0.020970352,0.03003508,0.9489946
2023-08-06,7.8,7.8,7.8,7.8,0.11K,0.00%,"The Trustee Committee of the Fund has declared 2.5% cash dividend based on the Net Income for the year ended June 30, 2023 and previous Retained Earnings. Record date: 24.08.2023. The Fund has reported EPU of Tk. 0.22, NAV per unit at market price of Tk. 10.30, NAV per unit at cost price of Tk. 12.04 and NOCFPU of Tk. 0.44 for the year ended June 30, 2023 as against Tk. 0.51, Tk. 9.06, Tk. 10.58 and Tk. 0.89 (restated) respectively for the year ended June 30, 2022.",Neutral,0.020475658,0.04169775,0.9378265
2023-07-16,7.8,7.8,7.8,7.8,0.01K,0.00%,"On the close of operation on July 11, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.26 per unit on the basis of current market price and Tk. 12.01 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,026,379,052.52 on the basis of current market price and Tk. 1,201,225,766.08 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021870624,0.036843363,0.94128597
2023-07-09,7.8,7.8,7.8,7.8,0.10K,0.00%,"On the close of operation on July 04, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.26 per unit on the basis of current market price and Tk. 12.02 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,025,893,113.77 on the basis of current market price and Tk. 1,202,344,368.93 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022064514,0.037494075,0.9404414
2023-06-18,7.8,7.8,7.8,7.8,0.66K,0.00%,"On the close of operation on June 13, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.21 per unit on the basis of current market price and Tk. 11.95 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,021,314,224.71 on the basis of current market price and Tk. 1,195,354,575.42 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021780448,0.038431395,0.9397881
2023-05-21,7.8,7.8,7.8,7.8,0.13K,0.00%,"On the close of operation on May 16, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.22 per unit on the basis of current market price and Tk. 11.92 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,021,540,195.86 on the basis of current market price and Tk. 1,192,126,226.37 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021869969,0.037834197,0.9402959
2023-05-07,7.8,7.8,7.8,7.8,1.00K,0.00%,"On the close of operation on May 02, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.22 per unit on the basis of current market price and Tk. 11.92 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,022,124,579.76 on the basis of current market price and Tk. 1,191,636,861.13 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022103,0.03794148,0.93995553
2023-01-29,7.8,7.8,7.8,7.8,0.00K,0.00%,"On the close of operation on January 24, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.01 per unit on the basis of current market price and Tk. 11.80 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,001,196,004.95 on the basis of current market price and Tk. 1,179,783,346.26 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021302735,0.03724167,0.94145554
2023-01-08,7.8,7.8,7.8,7.8,1.00K,0.00%,"On the close of operation on January 03, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 9.92 per unit on the basis of current market price and Tk. 11.78 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 991,943,785.99 on the basis of current market price and Tk. 1,178,338,711.01 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.02265984,0.037347462,0.9399927
2022-12-18,7.8,7.8,7.8,7.8,0.00K,0.00%,"On the close of operation on December 13, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 9.84 per unit on the basis of current market price and Tk. 11.72 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 984,375,066.33 on the basis of current market price and Tk. 1,171,509,540.08 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022297597,0.036593057,0.9411093
2022-11-06,7.8,7.8,7.8,7.8,3.00K,0.00%,"On the close of operation on November 01, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 9.83 per unit on the basis of current market price and Tk. 11.69 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 982,946,224.77 on the basis of current market price and Tk. 1,169,061,274.40 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.02244276,0.036831647,0.94072556
2022-10-31,7.8,7.8,7.8,7.8,0.10K,0.00%,"(Q1 Un-audited): EPU was Tk. (0.07) for July-September, 2022 as against Tk. 2.00 for July-September, 2021; NOCFPU was Tk. (0.06) for July-September, 2022 as against Tk. (0.05) for July-September, 2021. NAV per unit at market price was Tk. 10.01 as on September 30, 2022 and Tk. 10.58 as on June 30, 2022. NAV per unit at cost price was Tk. 11.68 as on September 30, 2022 and Tk. 12.09 as on June 30, 2022.",Neutral,0.018145539,0.0736527,0.90820175
2022-10-16,7.8,7.8,7.8,7.8,1.21K,0.00%,"On the close of operation on October 11, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 9.89 per unit on the basis of current market price and Tk. 11.70 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 989,297,425.76 on the basis of current market price and Tk. 1,170,116,501.89 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021406792,0.037296336,0.9412969
2022-10-12,7.8,7.8,7.8,7.8,0.00K,0.00%,"(Continuation news of ICBSONALI1): Emphasis of Matter: We observed that, there are some differences Between the stock balances in the CDBL Report with same in the Portfolio Statement which is as follows: The Balance of VIPB SEBL First Unit Fund as per CDBL Report is 1,351,020, whereas as per Portfolio Statement is 0. Our opinion is not modified in respect of this matter. (end)",Neutral,0.042399358,0.09663737,0.8609633
2022-10-12,7.8,7.8,7.8,7.8,0.00K,0.00%,"(Continuation news of ICBSONALI1): decrease from the cost of the investment, a provision for the fair value losses should be maintained. However, as the present value of the investment are presented at Market Value, no provision in this regard is required. (cont.4)",Neutral,0.031739265,0.04475004,0.92351073
2022-10-12,7.8,7.8,7.8,7.8,0.00K,0.00%,"(Continuation news of ICBSONALI1): Comprehensive Income and presented the closing balance of the market value in the Statement of the Financial Position in the form of ""Unrealized gain/ (losses) on investments"". Keeping provision is not required if the movement of the fair value of the investment is presented. According to Section 67 of Securities and Exchange Commission Act (Mutual Fund) Rules 2001, when the market value of the investment (cont.3)",Neutral,0.021134522,0.034609847,0.9442556
2022-10-12,7.8,7.8,7.8,7.8,0.00K,0.00%,"(Continuation news of ICBSONALI1): the statement of other comprehensive income is met as per paragraph 5.7.5. According to paragraph 5.7.5 of IFRS 9, at initial recognition, an entity may make an irrevocable election to present in other comprehensive income subsequent changes in the fair value of an investment in an equity instrument within the scope of the IFRS 9. As per IFRS 9 the entity has shown the movement of the fair value in the Other (cont.2)",Neutral,0.04106707,0.022644,0.93628895
2022-10-12,7.8,7.8,7.8,7.8,0.00K,0.00%,"The auditor of the ICB AMCL Sonali Bank Limited 1st Mutual Fund has given the ""Qualified Opinion"" & ""Emphasis of Matter"" paragraphs in the auditor's report for the year ended June 30, 2022. Basis for Qualified Opinion: 1. According to paragraph 5.7.1 of IFRS 9 (Financial Statements), an entity shall make an irrevocable decision to present the fair value gain or loss on investments to the statement of profit or loss unless the conditions to present to (cont.1)",Neutral,0.026679058,0.034590594,0.93873036
2022-10-10,7.8,7.8,7.8,7.8,0.09K,0.00%,"On the close of operation on October 03, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.09 per unit on the basis of current market price and Tk. 11.75 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,008,613,397.20 on the basis of current market price and Tk. 1,174,742,424.07 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.02152878,0.037578277,0.94089293
2022-10-03,7.8,7.8,7.8,7.8,0.00K,0.00%,"The Asset Manager of the Fund has informed that it has disbursed Cash Dividend for the year ended June 30, 2022 to the respective unit holders.",Neutral,0.049121715,0.03417275,0.9167055
2022-09-25,7.8,7.8,7.8,7.8,0.01K,0.00%,"On the close of operation on September 20, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.15 per unit on the basis of current market price and Tk. 11.71 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,015,131,569.59 on the basis of current market price and Tk. 1,171,145,456.91 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.02221611,0.03711934,0.94066447
2022-09-06,7.8,7.8,7.8,7.8,0.22K,0.00%,"The Fund Manager has requested the concerned Brokerage Houses/Merchant Banks to provide detailed data of their margin Account Holders who hold units of the fund on record date (Unit holders' Name, BO Number, Number of Units and e-TIN, bank account name, routing no.) to the ICB Asset Management Company Ltd., Green City Edge (4th floor), 89 Kakrail, Dhaka or soft copy to email: cmf.icbamcl@gmail.com and cmf@icbamcl.com.bd within September 11, 2022.",Neutral,0.021807194,0.026104212,0.9520886
2022-09-04,7.8,7.8,7.9,7.8,111.17K,0.00%,"Trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.",Negative,0.0149746295,0.5481435,0.43688193
2022-09-04,7.8,7.8,7.9,7.8,111.17K,0.00%,"On the close of operation on August 30, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.50 per unit on the basis of current market price and Tk. 12.04 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,050,116,580.62 on the basis of current market price and Tk. 1,203,843,844.88 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021760529,0.03651658,0.9417229
2022-08-31,7.9,7.9,7.9,7.8,23.71K,1.28%,"Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.",Neutral,0.016749404,0.28064466,0.70260596
2022-08-28,7.8,7.8,8.0,7.8,62.03K,0.00%,"On the close of operation on August 23, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.38 per unit on the basis of current market price and Tk. 12.03 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,038,175,587.01 on the basis of current market price and Tk. 1,203,342,028.22 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021166323,0.038455762,0.9403779
