Date,Price,Open,High,Low,Vol.,Change %,Content,Sentiment,Confidence_score_Positive,Confidence_score_Negative,Confidence_score_Neutral
14-01-24,9.2,9.2,9.2,9.2,0.60K,0.00%,"On the close of operation on January 09, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 10.46 per unit on the basis of current market price and Tk. 11.24 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,026,684,132.83 on the basis of current market price and Tk. 1,103,371,552.02 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022230018,0.037686225,0.94008374
08-01-24,9.2,9.2,9.2,9.2,48.10K,0.00%,"On the close of operation on January 02, 2024, the Fund has reported Net Asset Value (NAV) of Tk. 10.44 per unit on the basis of current market price and Tk. 11.25 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,024,855,816.28 on the basis of current market price and Tk. 1,104,525,384.87 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021776948,0.03785705,0.94036597
01-01-24,9.7,9.7,10.1,9.5,1.37M,3.19%,"On the close of operation on December 26, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.47 per unit on the basis of current market price and Tk. 11.25 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,027,208,674.75 on the basis of current market price and Tk. 1,104,555,846.24 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022191351,0.03714884,0.94065976
26-11-23,9.2,9.2,9.2,9.2,0.10K,0.00%,"On the close of operation on November 21, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.42 per unit on the basis of current market price and Tk. 11.19 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,022,561,532.87 on the basis of current market price and Tk. 1,098,245,785.72 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021954987,0.037411187,0.9406338
23-08-23,9.2,9.2,9.2,9.2,1.00K,0.00%,"Trading of the ICB AMCL First Agrani Bank Mutual Fund will be suspended on record date i.e., 24.08.2023.",Negative,0.01408413,0.66954446,0.31637138
07-08-23,9.2,9.2,9.2,9.2,0.26K,0.00%,"(Continuation news of ICBAGRANI1): The Fund Manager has also requested the stockbrokers'/merchant banks to send the soft copy of the statement through email to cmf.icbamcl@gmail.com and cmf@icbamcl.com.bd or through hard copy to the address: Green City Edge (5th Floor), 89 Kakrail, Dhaka. (end)",Neutral,0.023440445,0.02603919,0.95052034
07-08-23,9.2,9.2,9.2,9.2,0.26K,0.00%,"The Fund Manager has requested the concerned stockbrokers'/merchant banks to provide a statement with the details (unit holders name, BO ID no., unit no., E-TIN no., bank account name, account no., and routing no.) of their margin loan holders by August 29, 2023, who hold units of the fund as of the Record Date (August 24, 2023). (cont.)",Neutral,0.019563107,0.029057171,0.9513797
06-08-23,9.2,9.2,9.2,9.2,0.33K,0.00%,"On the close of operation on August 01, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.86 per unit on the basis of current market price and Tk. 11.55 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,065,848,104.34 on the basis of current market price and Tk. 1,133,552,515.01 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022298548,0.036234185,0.9414673
06-08-23,9.2,9.2,9.2,9.2,0.33K,0.00%,"There will be no price limit on the trading of the units of the Fund today (06.08.2023) following its corporate declaration. However, the floor price shall be applicable accordingly.",Neutral,0.020970352,0.03003508,0.9489946
06-08-23,9.2,9.2,9.2,9.2,0.33K,0.00%,"The Trustee Committee of the Fund has declared 5% cash dividend based on the Net Income for the year ended June 30, 2023 and previous Retained Earnings. Record date: 24.08.2023. The Fund has reported EPU of Tk. 0.14, NAV per unit at market price of Tk. 10.83, NAV per unit at cost price of Tk. 11.56 and NOCFPU of Tk. 0.36 for the year ended June 30, 2023 as against Tk. 1.28, Tk. 11.59, Tk. 12.10 and Tk. 1.30 (restated) respectively for the year ended June 30, 2022.",Neutral,0.020811582,0.038479764,0.9407087
09-07-23,9.2,9.2,9.2,9.2,0.10K,0.00%,"On the close of operation on July 04, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.84 per unit on the basis of current market price and Tk. 11.58 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,063,636,464.54 on the basis of current market price and Tk. 1,136,101,844.96 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022144685,0.036462177,0.9413931
21-05-23,9.2,9.2,9.2,9.2,0.11K,0.00%,"On the close of operation on May 16, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.84 per unit on the basis of current market price and Tk. 11.57 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,063,571,469.51 on the basis of current market price and Tk. 1,135,305,888.14 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.02172676,0.037128493,0.94114476
14-05-23,9.2,9.2,9.2,9.2,0.10K,0.00%,"On the close of operation on May 09, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.86 per unit on the basis of current market price and Tk. 11.56 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,066,068,196.52 on the basis of current market price and Tk. 1,134,140,529.92 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021934045,0.03656924,0.94149673
02-05-23,9.2,9.2,9.2,9.2,0.01K,0.00%,"(Q3 Un-audited): EPU was Tk. 0.11 for January-March 2023 as against Tk. (0.06) for January-March 2022; EPU was Tk. (0.03) for July 2022-March 2023 as against Tk. 1.35 for July 2021-March 2022. NOCFPU was Tk. 0.15 for July 2022-March 2023 as against Tk. 0.20 for July 2021-March 2022. NAV per unit at market price was Tk. 10.66 as on March 31, 2023 and Tk. 11.59 as on June 30, 2022. NAV per unit at cost price was Tk. 11.51 as on March 31, 2023 and Tk. 12.10 as on June 30, 2022.",Neutral,0.01748683,0.07653258,0.9059805
26-01-23,9.2,9.2,9.2,9.2,1.64K,0.00%,"(Q2 Un-audited): EPU was Tk. (0.04) for October-December 2022 as against Tk. (0.84) for October-December 2021; EPU was Tk. (0.14) for July-December 2022 as against Tk. 1.41 for July-December 2021. NOCFPU was Tk. (0.03) for July-December 2022 as against Tk. 0.07 for July-December 2021. NAV per unit at Market Price was Tk. 10.55 as on December 31, 2022 and Tk. 11.59 as on June 30, 2022. NAV per unit at Cost Price was Tk. 11.47 as on December 31, 2022 and Tk. 12.10 as on June 30, 2022.",Neutral,0.017540982,0.07592569,0.90653336
22-01-23,9.2,9.2,9.2,9.2,0.10K,0.00%,"On the close of operation on January 17, 2023, the Fund has reported Net Asset Value (NAV) of Tk. 10.60 per unit on the basis of current market price and Tk. 11.47 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,040,349,403.65 on the basis of current market price and Tk. 1,126,163,958.83 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021839272,0.038009483,0.94015115
25-09-22,9.2,9.2,9.2,9.2,1.50K,0.00%,"On the close of operation on September 20, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.82 per unit on the basis of current market price and Tk. 11.34 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,061,798,146.65 on the basis of current market price and Tk. 1,113,185,700.90 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.02202226,0.037148498,0.94082916
18-09-22,9.2,9.2,9.2,9.2,0.02K,0.00%,"On the close of operation on September 13, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.85 per unit on the basis of current market price and Tk. 11.34 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,064,573,506.46 on the basis of current market price and Tk. 1,113,081,713.71 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022359977,0.03621881,0.9414212
11-09-22,9.2,9.2,9.2,9.2,0.00K,0.00%,"On the close of operation on September 06, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 10.80 per unit on the basis of current market price and Tk. 11.30 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,060,241,097.28 on the basis of current market price and Tk. 1,109,452,084.73 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021293355,0.03921227,0.9394944
04-09-22,9.4,9.4,9.5,9.3,391.99K,1.08%,"Trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.",Negative,0.01497463,0.5481435,0.43688193
04-09-22,9.4,9.4,9.5,9.3,391.99K,1.08%,"On the close of operation on August 30, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 11.53 per unit on the basis of current market price and Tk. 12.08 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,131,459,809.65 on the basis of current market price and Tk. 1,185,237,325.56 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.021850202,0.036982454,0.9411674
31-08-22,9.3,9.3,9.4,9.3,201.29K,0.00%,"Trading of the units of the Fund will be allowed only in the Spot Market and Block transaction will also be settled as per spot settlement cycle with cum benefit from 01.09.2022 to 04.09.2022 and trading of the units of the Fund will remain suspended on record date i.e., 05.09.2022.",Neutral,0.016749404,0.28064466,0.70260596
28-08-22,9.3,9.3,9.4,9.2,197.66K,0.00%,"On the close of operation on August 23, 2022, the Fund has reported Net Asset Value (NAV) of Tk. 11.41 per unit on the basis of current market price and Tk. 12.06 per unit on the basis of cost price against face value of Tk. 10.00 whereas total Net Assets of the Fund stood at Tk. 1,119,723,232.94 on the basis of current market price and Tk. 1,184,086,217.09 on the basis of cost price after considering all assets and liabilities of the Fund.",Neutral,0.022034697,0.03799217,0.9399732
